Date;Heure;Profondeur;Vitesse;Effort
22/10/2025;13:28:21;132,6033227;22,4;207,1980175
22/10/2025;13:28:22;132,90561;22,6;181,7067787
22/10/2025;13:28:23;133,3086596;22,5;181,7067787
22/10/2025;13:28:24;133,7117092;22,5;188,2429938
22/10/2025;13:28:25;134,1147588;22,6;175,8241852
22/10/2025;13:28:26;134,417046;22,4;181,7067787
22/10/2025;13:28:27;134,8200956;22,5;213,080611
22/10/2025;13:28:28;135,2231452;22,7;207,1980175
22/10/2025;13:28:29;135,6261948;22,4;207,1980175
22/10/2025;13:28:30;135,9284821;22,6;194,7792088
22/10/2025;13:28:31;136,3315317;22,5;207,1980175
22/10/2025;13:28:32;136,7345813;22,4;188,2429938
22/10/2025;13:28:33;137,1376309;22,6;207,1980175
22/10/2025;13:28:34;137,4399181;22,5;175,8241852
22/10/2025;13:28:35;137,8429677;22,5;207,1980175
22/10/2025;13:28:36;138,2460173;22,7;194,7792088
22/10/2025;13:28:37;138,6490669;22,5;213,080611
22/10/2025;13:28:38;138,9513542;22,7;207,1980175
22/10/2025;13:28:39;139,3544038;22,4;188,2429938
22/10/2025;13:28:40;139,7574534;22,5;169,2879701
22/10/2025;13:28:41;140,160503;22,6;181,7067787
22/10/2025;13:28:42;140,4627902;22,4;169,2879701
22/10/2025;13:28:43;140,8658398;22,5;207,1980175
22/10/2025;13:28:44;141,2688894;22,5;175,8241852
22/10/2025;13:28:45;141,671939;22,5;188,2429938
22/10/2025;13:28:46;141,9742262;22,7;213,080611
22/10/2025;13:28:47;142,3772759;22,5;213,080611
22/10/2025;13:28:48;142,7803255;22,5;213,080611
22/10/2025;13:28:49;143,1833751;22,6;188,2429938
22/10/2025;13:28:50;143,4856623;22,3;207,1980175
22/10/2025;13:28:51;143,8887119;22,6;207,1980175
22/10/2025;13:28:52;144,2917615;22,5;188,2429938
22/10/2025;13:28:53;144,6948111;22,4;207,1980175
22/10/2025;13:28:54;145,0978608;22,7;194,7792088
22/10/2025;13:28:55;145,400148;22,5;194,7792088
22/10/2025;13:28:56;145,8031976;22,7;188,2429938
22/10/2025;13:28:57;146,2062472;22,7;213,080611
22/10/2025;13:28:58;146,6092968;22,5;188,2429938
22/10/2025;13:28:59;146,911584;22,5;175,8241852
22/10/2025;13:29:00;147,3146336;22,4;213,080611
22/10/2025;13:29:01;147,7176832;22,5;188,2429938
22/10/2025;13:29:02;148,1207329;22,6;207,1980175
22/10/2025;13:29:03;148,4230201;22,4;188,2429938
22/10/2025;13:29:04;148,8260697;22,6;194,7792088
22/10/2025;13:29:05;149,2291193;22,6;207,1980175
22/10/2025;13:29:06;149,6321689;22,5;213,080611
22/10/2025;13:29:07;149,9344561;22,7;207,1980175
22/10/2025;13:29:08;150,3375057;22,4;213,080611
22/10/2025;13:29:09;150,7405553;22,4;181,7067787
22/10/2025;13:29:10;151,143605;22,6;188,2429938
